Model Name,Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy,Parameters
"MLPADC (bx=8, bw=8, ba=8, k=4)",20,273.9007,65.78%,276.2153,63.12%,"bx=8, bw=8, ba=8, k=4"
"MLPQuant (bx=8, bw=8)",1,0.7254,75.60%,0.4930,82.34%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",2,0.4316,84.41%,0.4354,84.33%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",3,0.3837,86.17%,0.4003,85.67%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",4,0.3508,87.33%,0.3797,86.69%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",5,0.3255,88.25%,0.3705,86.67%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",6,0.3081,88.77%,0.3556,87.38%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",7,0.2965,89.14%,0.3452,87.82%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",8,0.2790,89.84%,0.3470,87.45%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",9,0.2699,90.16%,0.3406,87.73%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",10,0.2569,90.66%,0.3225,88.51%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",11,0.2466,90.95%,0.3340,88.13%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",12,0.2366,91.41%,0.3263,88.25%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",13,0.2334,91.49%,0.3214,88.74%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",14,0.2261,91.76%,0.3265,88.65%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",15,0.2159,92.06%,0.3314,88.13%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",16,0.2095,92.28%,0.3215,88.79%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",17,0.2015,92.58%,0.3294,88.72%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",18,0.1987,92.73%,0.3204,89.05%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",19,0.1862,93.16%,0.3395,88.50%,"bx=8, bw=8"
"MLPQuant (bx=8, bw=8)",20,0.1820,93.32%,0.3327,89.17%,"bx=8, bw=8"
